model,mode,mean,std
small,fwd_only,0.017496910004410893,0.0007776346245964062
small,fwd_bwd,0.05366953159682453,0.006347947533209861
small,fwd_bwd_optim,0.06291736900020624,0.0009214164080900871
medium,fwd_only,0.048906371608609334,0.0006255607758560215
medium,fwd_bwd,0.16094478709856047,0.009516741760261698
medium,fwd_bwd_optim,0.1670145865122322,0.001134229924701821
large,fwd_only,0.10836927321506665,0.0009794750880897922
large,fwd_bwd,0.33786117830022705,0.014425217141539019
large,fwd_bwd_optim,0.3615675078995991,0.0004258098995506122
xl,fwd_only,0.30638697389513253,0.0024461989464165247
xl,fwd_bwd,0.9011812145006843,0.0446806824980433
xl,fwd_bwd_optim,0.967792227701284,0.005457546343485176
ten_b,fwd_only,0.9523100967984647,0.005074776753514251
ten_b,fwd_bwd,2.895506276702508,0.09514047576310045
