xl,fwd_bwd,0.1994487009360455,0.04974678108347676
large,fwd_bwd,0.1168576902942732,0.02003695646944812
ten_b,fwd_bwd,0.5160832520001349,0.11160090633083194
medium,fwd_bwd,0.06886680470779538,0.01871798486175975
small,fwd_bwd,0.03563976180157624,0.017699061224277876
small,fwd_only,0.013660084689036012,0.014786746315279027
medium,fwd_only,0.023306979599874468,0.014119016428711481
large,fwd_only,0.0499667893996957,0.031387508528476354
xl,fwd_only,0.05603957179700956,0.013931386814656228
ten_b,fwd_only,0.1484661346068606,0.04346848763909411
