small,fwd_only,0.03346896769944578,0.048458032621292925
small,fwd_bwd_optim,0.08619037721073255,0.06524441090837449
small,fwd_bwd_optim,0.11111136080035067,0.14179422927072835
medium,fwd_only,0.0637297853070777,0.04487697960251776
medium,fwd_bwd,0.18246751620317808,0.09501227757532218
medium,fwd_bwd_optim,0.22687668620001772,0.13949956505849728
large,fwd_only,0.13344587379251607,0.07592241276036402
large,fwd_bwd,0.3513770636054687,0.06447288700022594
large,fwd_bwd_optim,0.5090001925997057,0.44705954668075804
xl,fwd_only,0.307923725922592,0.04052609906305291
xl,fwd_bwd,0.9085131861094851,0.07688852125782249
xl,fwd_bwd_optim,1.001264315401204,0.13153472426404056
xl,fwd_bwd_optim,1.0412782148952828,0.2249649747355828
ten_b,fwd_only,0.969332124502398,0.07082625419997385
ten_b,fwd_bwd,2.920742080005584,0.15781397988377338
