d_model,seq_len,fwd_time,bwd_time,memory
16,256,7.429559365846217e-05,0.0002469885838218033,22176256
16,1024,0.00015422146418131888,0.0003818925796076655,87917056
16,4096,0.0019150491000618785,0.003814813691424206,1105854976
16,8192,0.007975683466065675,0.01468343248241581,4342153728
16,16384,0.0304720688436646,0.056521277074934914,17257202176
32,256,7.15633318759501e-05,0.0002428968297317624,23093760
32,1024,0.00016161561943590642,0.0003881434805225581,91587072
32,4096,0.0020577505696564914,0.003910407926887274,1120535040
32,8192,0.008375335857272148,0.015036061278078706,4371513856
32,16384,0.032142102404031904,0.058046358721330765,17315922432
64,256,7.224611821584404e-05,0.00025091848452575506,24928768
64,1024,0.000182369330432266,0.00042112620547413827,98927104
64,4096,0.0024021094129420815,0.004495308841578663,1149895168
64,8192,0.009548260094597937,0.017254397043725476,4430234112
64,16384,0.03796146008884534,0.06799153661122545,17433362944
128,256,7.256181328557431e-05,0.0002493459975812584,28598784
128,1024,0.00022353394073434173,0.0005005688592791557,113607168
128,4096,0.003051253636367619,0.0056081359344534575,1208615424
128,8192,0.012425918837543577,0.022063870877027512,4547674624
128,16384,0.0477803835074883,0.08454061502940022,17668243968
